BID Name:,Full-time staff,Part-time staff,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Public spaces maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,Other program expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Capital improvement expenses,Total expenses
125th Street,3,0.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,12740.5,11700.0,87000.0,80.0,Yes,Contracted,Street patrol,9888.0,1076.0,Yes,0.0,21.0,62.0,,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,6200,2,12000,No,1005793,," 10,000 "," 49,687 ",, 162 ,,1101342,241945," 208,981 ", -   ," 298,326 "," 27,671 ",22331.0,116595,37460, -   ,1083920
161st Street,1,2.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,4368.0,815.0,38000.0,48.0,No,,,,,Yes,2.0,10.0,10.0,2.0,Yes,Door-to-door visits; Flyers; Email bulletins,38200,12,30000,No,240000,,," 81,000 "," 3,500 ",," 32,000 ",356500,90000, -   , -   ," 106,000 "," 18,000 ",7500.0,15000,5000, -   ,317500
165th Street Mall,1,0.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,3240.0,17.0,1100.0,29.0,No,,,,,Yes,0.0,21.0,0.0,4.0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,32500,34,15000,Yes,210000," 1,800 ",,,,,,211800,51620, -   ," 12,050 "," 64,575 ",,44784.0,8138,2000, -   ,223975
180th Street,1,0.0,No,,,,,,,Yes,Contracted,Street patrol,180.0,32.0,No,,,,,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins,200,3,40,No,60000,,,,,,,60000,3500," 11,193 "," 5,525 "," 16,000 ",,2885.0,1800,2000, -   ,62158
34th Street Partnership,77,12.0,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,137280.0,3398.0,259150.0,349.0,Yes,In-house,Street patrol; Coordination with NYPD,46313.0,2042.0,Yes,4.0,133.0,178.0,0.0,No,Door-to-door visits; Email bulletins; Social media,9000,574,31000,No,10885000," 1,552,602 "," 218,388 ", -   ," 834,106 "," 2,622 "," 8,215 ",13500933,3578553," 2,450,115 "," 1,115,704 "," 876,321 "," 110,493 ",53155.0,55258,18490, -   ,14061313
47th Street,2,0.0,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,2808.0,1675.0,6935.0,10.0,Yes,Contracted,Street patrol,7800.0,200.0,No,,,,,Yes,Flyers,250000,15,2000,No,1010000,," 88,568 ",," 145,238 "," 1,107 ",,1244913,119331," 512,607 ", -   ," 159,617 "," 136,061 ",61619.0,12622,102288, -   ,1281337
82nd Street Partnership,1,3.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,4888.0,930.0,11248.0,24.0,No,,,,,Yes,1.0,26.0,19.0,2.0,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,27100,10,3000,No,224450,,," 38,500 ",,,,273022,86259, -   , -   ," 106,372 ",,2183.0,18336,4116, -   ,260242
86th Street Bay Ridge,0,3.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,8521.0,6.0,60000.0,38.0,No,,,,,Yes,0.0,0.0,13.0,1.0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,1400,2,350,Yes,290000,,,,, 492 ,,293292,135994, -   , -   ," 59,106 ",,1918.0,14036,653, -   ,264750
Atlantic Avenue,1,2.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,2548.0,290.0,18200.0,60.0,No,,,,,Yes,0.0,318.0,85.0,2.0,Yes,Paid Advertising; Door-to-door visits; Email bulletins; Social media,12150,8,650,No,240000, -   ," 8,583 "," 19,177 "," 12,531 ", 324 , 166 ,280782,51211, -   , -   ," 85,085 "," 6,143 ",4997.0,18848,8491," 94,447 ",346415
Bay Ridge 5th Avenue,1,1.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Gum Removal; Street Furniture Maintenance,8900.0,3600.0,36000.0,84.0,Yes,Contracted,Street patrol; Coordination with NYPD,2090.0,780.0,Yes,0.0,0.0,33.0,20.0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Social media,2775,7,34950,Yes,427000,, 500 ,,,,,461730,167803," 39,589 ", -   ," 31,159 "," 31,408 ",2830.0,23253,4599, -   ,418154
