BID Name:,Full-time staff,Part-time staff,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Public spaces maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,Other program expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Capital improvement expenses,Total expenses
125th Street,3.0,7,True,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,12699.0,15285.0,72000.0,60.0,True,Contracted,Crime prevention workshops; Street patrol; Coordination with NYPD,9765.0,1041.0,True,,19.0,64.0,,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",10030.0,2.0,91899.0,False,1005793,,,91000.0,,85.0,,1164016,266303.0,234302.0,,266686.0,13330.0,26194,149791.0,78586.0,,1151526
161st Street,1.0,1,True,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,4488.0,925.0,42000.0,48.0,False,,,,,True,2.0,20.0,12.0,16.0,True,Flyers; Email bulletins,10550.0,15.0,39000.0,False,240000,,32000.0,73000.0,,,,348000,94571.0,,,127751.0,19480.0,8024,11062.0,315.0,,303290
165th Street Mall,1.0,0,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,3240.0,12.0,1120.0,29.0,False,,,,,True,,20.0,,4.0,True,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,35100.0,37.0,15500.0,True,230000,,,5000.0,,,1800.0,236800,69906.0,,,61883.0,9400.0,44796,8383.0,4400.0,,236155
180th Street,1.0,0,False,,,,,,,True,Contracted,Street patrol; Coordination with NYPD,180.0,35.0,False,,,,,False,Direct mailings; Door-to-door visits; Flyers; Email bulletins,250.0,3.0,40.0,False,75000,,,,,,,75000,3000.0,14662.0,,16000.0,7080.0,2943,1800.0,2000.0,4475.0,67240
34th Street Partnership,62.0,21,True,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,137280.0,3157.0,252170.0,349.0,True,In-house,Street patrol; Coordination with NYPD,29367.0,2723.0,True,4.0,156.0,223.0,,False,"Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media",9020.0,601.0,34000.0,False,11900000,1411786.0,238728.0,,601002.0,15481.0,7968.0,14174965,3957782.0,2651487.0,3836636.0,912661.0,110609.0,63275,106840.0,19217.0,1041384.0,15291499
47th Street,2.0,0,True,Contracted,Street Sweeping and Bagging; Graffiti Removal; Gum Removal,2810.0,2500.0,8000.0,14.0,True,Contracted,Street patrol; Coordination with NYPD,13520.0,,True,,,,,True,Print advertising (i.e. local newspaper); Door-to-door visits; Flyers,130000.0,14.0,700.0,False,900000,,381005.0,9500.0,75000.0,,,1365505,78254.0,716436.0,,295000.0,99644.0,46579,1800.0,60226.0,,1447601
82nd Street Partnership,1.0,4,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,5008.0,300.0,10798.0,24.0,False,,,,,True,1.0,26.0,19.0,1.0,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",25200.0,16.0,3750.0,False,254450,,,50000.0,,,,324650,94811.0,,,115098.0,10273.0,2678,19947.0,2678.0,,285352
86th Street Bay Ridge,0.0,3,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal,8469.0,,59500.0,46.0,False,,,,,True,,22.0,13.0,1.0,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media",9000.0,3.0,400.0,True,290000,,,,,648.0,,293448,166955.0,,,68500.0,15050.0,1918,12000.0,,26347.0,353253
Atlantic Avenue,1.0,1,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,3280.0,4980.0,24000.0,60.0,False,,,,,True,,320.0,74.0,2.0,True,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",15100.0,6.0,2500.0,True,315000,,10000.0,50000.0,,303.0,,379443,75540.0,,1909.0,93568.0,6736.0,5081,18805.0,6233.0,,342450
Bay Ridge 5th Avenue,2.0,0,True,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,8880.0,5400.0,35800.0,84.0,True,Contracted,Street patrol; Traffic mitigation; Coordination with NYPD,2080.0,1040.0,True,,,132.0,15.0,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",11750.0,13.0,58400.0,True,427000,,,,,,4625.0,479519,193184.0,42004.0,,106763.0,7287.0,3421,25410.0,4005.0,,473739
