BID Name:,Block faces,Full-time staff,Part-time staff,Ground floor storefront businesses,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Sanitation workers employed,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Public safety officers employed,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Public spaces maintained,Planters maintained,Tree pits maintained,Banners maintained,Pieces of street furniture maintained,Public art installations sponsored,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions, Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,Marketing and special event expenses,Holiday lighting expenses,Beautification and horticulture expenses,Streetscape and repairs expenses,Other program expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other expenses,Capital improvement expenses,Debt service expenses,Total expenses
125th Street,22,3,2,220,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,6,12735,12160,86000,80,Yes,Contracted,Street patrol,4,9888,,Yes,0,0,21,64,148,0,Yes,Door-to-door visits; Fliers; Email bulletins; Website; Social media,3500,2,3200,No,1005793,0,3200,,47000,62500,161,0,1118654,218000,213718,58157,58160,,,0,245027,63575,23802,107436,17427,29906,0,0,1035208
161st Street,15,2,1,149,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,2,4924,800,38000,48,No,,,,,,Yes,4,0,10,20,15,13,Yes,Paid Advertising; Door-to-door visits; Fliers; Email bulletins; Website; Social media,16344,6,30000,Yes,240000,,29400,4000,42000,0,,0,315400,103000,,46200,13800,35400,,30000,78000,0,4500,4500,0,,0,0,315400
165th Street Mall,8,1,0,92,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,3,3240,2,1100,29,No,,,,,,Yes,0,21,21,0,20,4,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Fliers; Website; Social media,30500,35,15000,Yes,200000,1800,0,0,0,0,,0,201800,49928,,26305,12775,,8245,12800,64575,0,36152,8040,2000,,0,0,220820
180th Street,26,1,0,40,No,,,,,,,,Yes,Contracted,Street patrol; Traffic mitigation,4,400,28,No,,,,,,,No,Direct mailings; Door-to-door visits; Fliers; Email bulletins; Website,200,3,25,No,60000,0,0,0,0,0,,0,60000,,12377,560,,,14000,5000,16000,,2790,1800,1905,300,0,0,54732
34th Street Partnership,108,161,15,536,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,68,135120,3016,246375,349,Yes,In-house,Street patrol,24,49875,2301,Yes,3,530,154,162,2674,0,No,Direct mailings; Email bulletins; Website; Social media,14500,425,25000,No,10885000,886086,231476,0,0,450407,7482,2152,12462603,3345995,2389953,711126,,671099,1162820,1452009,800437,84436,40918,62174,19621,66744,1395234,542966,12745532
47th Street,2,2,0,1000,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal,1,2808,1660,6000,10,Yes,Contracted,Street patrol,3,8000,250,No,,,,,,,Yes,Fliers; Website,620000,15,1000,Yes,900000,0,0,0,0,121749,1121,0,1022870,78639,267482,69899,9450,,5880,0,407800,42000,47419,15071,13965,83918,0,0,1041522
82nd Street Partnership,6,1,1,97,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal,3,4979,384,13480,24,No,,,,,,Yes,1,12,26,19,28,,Yes,Paid Advertising; Door-to-door visits; Fliers; Email bulletins; Website; Social media,10500,10,3000,No,224450,0,0,4800,107019,0,115,0,336384,85682,,14229,6800,502,15950,11049,151732,13441,2327,19783,2246,0,0,0,323741
86th Street Bay Ridge,16,0,3,187,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,3,6274,8,13870,38,No,,,,,,Yes,0,14,0,13,37,1,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Fliers; Email bulletins; Website; Social media,300,2,150,Yes,290000,0,0,2800,0,0,316,0,293116,130095,,14364,24500,,1745,0,59701,3539,1922,13362,772,15837,0,0,265837
Atlantic Avenue,58,1,1,317,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,2,1586,450,28000,22,No,,,,,,Yes,0,1,327,74,0,2,Yes,Paid Advertising; Door-to-door visits; Email bulletins; Website; Social media,30000,5,1500,Yes,240000,0,12500,0,17000,3000,550,12097.58,285148,42797,,37357,17513,39670,17964,0,94586,5869,5525,19915,2113,1687,37011,0,322006
Bay Ridge 5th Avenue,40,0,2,359,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Gum Removal,4,8960,,28080,84,Yes,Contracted,Street patrol,1,2090,500,Yes,0,76,0,36,106,,Yes,Paid Advertising; Door-to-door visits; Fliers; Email bulletins; Website; Social media,2500,3,70000,Yes,427000,0,0,0,0,0,,0,427000,136843,36227,82918,22000,,,3732,63617,6550,3170,17511,3137,1067,0,0,376773
