BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,Ground floor storefront businesses,Upper level storefront businesses,Ground floor vacant storefronts,Upper level vacant storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Debt service expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses
125th Street,MN,10270,3,6,4,0,220,,33,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12740.5,11700,87000,80,Yes,Contracted,Street patrol,9888,1076,Yes,,21,62,,6,,64,,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,6200,2,12000,No,1005793,," 10,000 "," 35,700 "," 49,687 ",, 162 ,,1101342,241945," 208,981 ",98341," 10,000 ", -   , -   , -   ," 298,326 "," 27,671 ",22331,116595,37460," 22,270 ",1083920
161st Street,BX,5220,1,2,0,2,151,,3,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,4368,815,38000,48,No,,,,,Yes,0,10,10,2,0,5,0,10,2,Yes,Door-to-door visits; Flyers; Email bulletins,38200,12,30000,No,240000,,,," 81,000 "," 3,500 ",," 32,000 ",356500,90000, -   ,33500," 10,000 ", -   , -   , -   ," 106,000 "," 18,000 ",7500,15000,5000," 32,500 ",317500
165th Street Mall,QN,1740,1,3,0,0,92,2,4,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,3240,17,1100,29,No,,,,,Yes,0,21,0,4,0,2,29,,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,32500,34,15000,Yes,210000," 1,800 ",,,,,,,211800,51620, -   ,37775," 3,033 "," 12,050 ", -   , -   ," 64,575 ",,44784,8138,2000,,223975
180th Street,QN,8150,1,0,4,0,40,2,2,1,No,,,,,,,,Yes,Contracted,Street patrol,180,32,No,,,,,,,,,,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins,200,3,40,No,60000,,,,,,,,60000,3500," 11,193 ",560," 18,475 "," 5,525 ", -   , -   ," 16,000 ",,2885,1800,2000, 220 ,62158
34th Street Partnership,MN,41110,77,66,24,12,521,,11,,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,137280,3398,259150,349,Yes,In-house,Street patrol; Coordination with NYPD,46313,2042,Yes,741,133,178,0,1461,1030,994,243,4,No,Door-to-door visits; Email bulletins; Social media,9000,574,31000,No,10885000," 1,552,602 "," 218,388 ", -   , -   ," 834,106 "," 2,622 "," 8,215 ",13500933,3578553," 2,450,115 ",1495399," 2,316,658 "," 1,115,704 ", -   ," 1,924,025 "," 876,321 "," 110,493 ",53155,55258,18490," 67,142 ",14061313
47th Street,MN,1930,2,1,3,0,1000,,2,,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,6,2808,1675,6935,10,Yes,Contracted,Street patrol,7800,200,No,,,,,,,,,,Yes,Flyers,250000,15,2000,No,1010000,," 88,568 ",,," 145,238 "," 1,107 ",,1244913,119331," 512,607 ",105259," 64,432 ", -   , -   , -   ," 159,617 "," 136,061 ",61619,12622,102288," 7,501 ",1281337
82nd Street Partnership,QN,3460,1,3,0,3,80,97,10,9,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,4888,930,11248,24,No,,,,,Yes,10,26,19,2,28,0,0,20,1,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,27100,10,3000,No,224450,,," 10,072 "," 38,500 ",,,,273022,86259, -   ,33517, 506 , -   , -   , -   ," 106,372 ",,2183,18336,4116," 8,953 ",260242
86th Street Bay Ridge,BK,5930,0,3,0,3,187,16,17,4,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,8521,6,60000,38,No,,,,,Yes,14,0,13,1,22,0,0,15,0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,1400,2,350,Yes,290000,,," 2,800 ",,, 492 ,,293292,135994, -   ,26608," 12,381 ", -   , -   , -   ," 59,106 ",,1918,14036,653," 14,054 ",264750
Atlantic Avenue,BK,17170,1,2,0,2,380,,49,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,6,2548,290,18200,60,No,,,,,Yes,2,318,85,2,0,0,20,174,0,Yes,Paid Advertising; Door-to-door visits; Email bulletins; Social media,12150,8,650,No,240000, -   ," 8,583 ", -   ," 19,177 "," 12,531 ", 324 , 166 ,280782,51211, -   ,57864," 16,081 ", -   ," 94,447 ", -   ," 85,085 "," 6,143 ",4997,18848,8491," 3,247 ",346415
Bay Ridge 5th Avenue,BK,17210,1,4,1,1,359,,14,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Gum Removal; Street Furniture Maintenance,6,8900,3600,36000,84,Yes,Contracted,Street patrol; Coordination with NYPD,2090,780,Yes,76,0,33,20,103,0,20,75,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Social media,2775,7,34950,Yes,427000,, 500 ," 34,230 ",,,,,461730,167803," 39,589 ",87304," 27,587 ", -   , -   , -   ," 31,159 "," 31,408 ",2830,23253,4599," 2,622 ",418154
