BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,"Individual businesses (retail, restaurant, office, etc.)",Occupied storefronts,Vacant storefronts,Total storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Social media followers,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8
125th Street,MN,10270,3,6,4,7,435,237,15,252,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12699,15285,72000,60,true,Contracted,Crime prevention workshops; Street patrol; Coordination with NYPD,9765,1041,true,,19,64,,4,,64,34,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","5,866",10030,2,91899,false,1005793,,,67138,91000,,85,,1164016,266303,234302,116334,$-,,,266686,13330,26194,149791,78586,,1151526,,,,,,,,,
161st Street,BX,5220,1,2,0,1,152,130,0,130,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,4488,925,42000,48,false,,,,,true,,20,12,16,15,8,1,20,2,true,Flyers; Email bulletins,-,10550,15,39000,false,240000,,32000,3000,73000,,,,348000,94571,,29869,"$6,904",,,127751,19480,8024,11062,315,5313,303290,,,,,,,,,
165th Street Mall,QN,1740,1,3,0,0,168,88,4,92,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,3240,12,1120,29,false,,,,,true,,20,,4,,2,29,,,true,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,-,35100,37,15500,true,230000,,,,5000,,,1800,236800,69906,,31485,"$2,940",,,61883,9400,44796,8383,4400,2962,236155,,,,,,,,,
180th Street,QN,8150,1,0,4,0,41,39,2,41,false,,,,,,,,true,Contracted,Street patrol; Coordination with NYPD,180,35,false,,,,,,,,,,false,Direct mailings; Door-to-door visits; Flyers; Email bulletins,-,250,3,40,false,75000,,,,,,,,75000,3000,14662,780,"$14,500",,4475,16000,7080,2943,1800,2000,,67240,,,,,,,,,
34th Street Partnership,MN,41110,62,71,33,21,I don't know,532,12,544,true,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,137280,3157,252170,349,true,In-house,Street patrol; Coordination with NYPD,29367,2723,true,520,156,223,,896,1049,738,634,4,false,"Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media","19,500",9020,601,34000,false,11900000,1411786,238728,,,601002,15481,7968,14174965,3957782,2651487,450377,"$2,077,036",3836636,1041384,912661,110609,63275,106840,19217,64195,15291499,,,,,,,,,
47th Street,MN,1930,2,1,5,0,2600,50,35,85,true,Contracted,Street Sweeping and Bagging; Graffiti Removal; Gum Removal,6,2810,2500,8000,14,true,Contracted,Street patrol; Coordination with NYPD,13520,,true,18,,,,,,24,,,true,Print advertising (i.e. local newspaper); Door-to-door visits; Flyers,-,130000,14,700,false,900000,,381005,,9500,75000,,,1365505,78254,716436,132000,"$17,662",,,295000,99644,46579,1800,60226,,1447601,,,,,,,,,
82nd Street Partnership,QN,3460,1,3,0,4,185,173,8,181,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,5008,300,10798,24,false,,,,,true,14,26,19,1,28,,19,18,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","3,188",25200,16,3750,false,254450,,,20200,50000,,,,324650,94811,,30002,"$5,040",,,115098,10273,2678,19947,2678,4825,285352,,,,,,,,,
86th Street Bay Ridge,BK,5930,0,3,0,3,178,178,22,200,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal,7,8469,,59500,46,false,,,,,true,20,22,13,1,23,,,16,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media",578,9000,3,400,true,290000,,,2800,,,648,,293448,166955,,51596,"$5,135",,26347,68500,15050,1918,12000,,5752,353253,,,,,,,,,
Atlantic Avenue,BK,17170,1,2,0,1,331,335,45,380,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,3280,4980,24000,60,false,,,,,true,1,320,74,2,,,89,251,,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","4,437",15100,6,2500,true,315000,,10000,4140,50000,,303,,379443,75540,,68288,"$65,430",1909,,93568,6736,5081,18805,6233,859,342450,,,,,,,,,
Bay Ridge 5th Avenue,BK,17210,2,4,1,0,334,352,7,359,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,6,8880,5400,35800,84,true,Contracted,Street patrol; Traffic mitigation; Coordination with NYPD,2080,1040,true,76,,132,15,103,,,75,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","1,566",11750,13,58400,true,427000,,,47894,,,,4625,479519,193184,42004,72112,"$14,809",,,106763,7287,3421,25410,4005,4744,473739,,,,,,,,,
Bayside Village,QN,6690,1,1,0,2,256,155,5,160,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,6,2432,80,2200,41,false,,,,,true,,84,28,,,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media","3,344",2500,5,6950,false,205000,,,22920,12800,,,,240720,53300,,66072,"$2,598",3400,,71085,4500,3320,7200,3435,600,215510,,,,,,,,,
Bed-Stuy Gateway,BK,14310,2,6,1,5,263,317,155,472,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,12705,614,37571,101,true,Both or Other (please explain),Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,,1200,true,20,,,,35,2,,55,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",494,11850,12,10000,true,675000,,5500,,16242,,,960,697702,288381,24641,89670,"$15,458",,,240297,14280,25619,22119,7725,67025,795214,,,,,,,,,
Belmont,BX,27170,2,2,4,3,371,193,17,210,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,6,3756,60,18200,70,true,Contracted,Monitoring security cameras; Street patrol; Traffic mitigation; Coordination with NYPD,2460,281,true,,,100,1,,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media","261,367",7000,12,30000,false,440000,16000,14073,48157,71500,37828,871,1036,629465,61035,101775,203959,$117,,,155340,33241,3387,27668,4386,21693,612601,,,,,,,,,
Brighton Beach,BK,10530,1,2,0,0,145,100,4,114,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,3640,12,11680,32,false,,,,,false,,,,,,,,,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Social media","1,456",6630,3,4500,false,220000,,,,12000,1350,,87000,320350,79279,,55754,"$9,400",,,56850,5609,8201,,946,5679,221717,,,,,,,,,
Bryant Park Corporation,MN,9310,65,37,13,31,72,67,5,72,true,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,79040,121,85500,185,true,In-house,Street patrol; Coordination with NYPD,22498,4274,true,220,120,72,,5215,180,331,17,1,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","302,504",270000,2750,250000,false,1600000,4210819,5577595,,,8998433,1943,39352,20428142,2283304,1248569,12734197,"$1,526,600",1414138,415225,958444,130936,124499,105917,20824,50103,21012756,,,,,,,,,
Chinatown,MN,55560,3,20,0,3,2207,1412,176,1588,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,35792,3105,193642,192,false,,,,,true,42,228,58,4,1200,24,102,98,2,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","4,074",63368,36,278630,true,1300000,,72000,37391,109642,,3769,,1522802,750000,,101465,$-,48566,,244029,54189,21625,113301,19823,23697,1376695,,,,,,,,,
Church Avenue,BK,7580,2,1,0,4,177,161,16,177,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,2541,29,22095,37,false,,,,,false,,,,,,,,,,true,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,"1,351",4200,9,6306,true,188500,,2000,,5310,17432,59,,213301,53669,,30082,$-,,,83533,18830,6496,6180,824,5754,205368,,,,,,,,,
Columbus Avenue,MN,8010,2,2,0,1,200,188,12,200,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,3640,1445,21500,80,false,,,,,true,,138,30,,12,,,147,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Email bulletins; Social media; LinkNYC advertising (more info)","6,225",110200,3,3500,false,398800,,166972,177374,,13984,,3500,760630,79807,,255528,"$45,841",9500,12953,206953,126358,8132,10061,6558,17739,779430,,,,,,,,,
Columbus-Amsterdam,MN,11220,1,7,0,10,215,199,16,215,true,In-house,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,3700,1400,17000,28,true,Both or Other (please explain),Coordination with NYPD,,20,true,7,200,,2,8,1,,266,1,true,Print advertising (i.e. local newspaper); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info),851,20130,28,6500,true,350000,,2458,,2499,551,154,,355662,112713,28102,83865,"$53,344",,,21367,964,479,4449,252,428,305963,,,,,,,,,
Court-Livingston-Schermerhorn,BK,28020,3,12,2,0,Do Not Track,207,16,223,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Street Furniture Maintenance,7,27616,138,77141,108,true,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,4160,5363,true,6,312,110,,47,5,47,349,2,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media","30,667",27800,1,100,true,907000,,,,,3690,871,,911561,483208,126929,67614,"$124,384",2597,,33152,19907,13600,9296,6969,125920,1013576,,,,,,,,,
Downtown Alliance,MN,121820,60,60,60,23,DNT,1200,DNT,DNT,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,137179,1287,134872,417,true,Contracted,Street patrol; Coordination with NYPD,120276,983909,true,238,5,,1,319,666,110,57,10,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","55,200",1033000,40,50000,true,15900000,1312876,197913,,,684842,49357,757621,18902609,4648841,4454655,3450453,"$667,683",4616898,263454,546248,224142,160708,510615,122210,438366,20104273,,,,,,,,,
Downtown Flushing Transit Hub,QN,11110,3,7,0,2,1000,500,2,502,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Street Furniture Maintenance,7,20280,600,98650,75,false,Contracted,Coordination with NYPD,,,true,,,65,,3,3,79,,2,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media",-,,9,30000,false,380000,,10000,125025,419833,,1250,,936108,455046,22200,150912,"$18,892",62895,,191605,45946,3562,22664,10056,9372,993150,,,,,,,,,
DUMBO Improvement District,BK,36680,3,9,0,6,1300,209,6,215,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,15769,230,37000,70,false,,,,,true,36,11,42,2,120,6,,,4,false,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media","58,700",16750,107,72000,true,835000,63779,65380,,4000,118525,,3912,1090596,222503,,486898,"$65,720",149173,,75300,23371,1022,4637,2962,6073,1037659,,,,,,,,,
East Brooklyn,BK,54560,0,4,0,7,227,64,6,70,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,3,2398,,1582,,false,,,,,false,,,,,,,,,,false,Direct mailings; Door-to-door visits; Email bulletins,-,1190,6,1450,false,142500,,,,,,,4075,146575,47111,,8470,$-,22331,,57415,3500,1354,4500,250,1473,146403,,,,,,,,,
East Midtown Partnership,MN,49480,3,44,7,1,780,791,80,871,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,63380,406,143019,280,true,Contracted,Street patrol; Coordination with NYPD,14380,18918,true,7,108,35,,,,,600,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","6,505",16500,7,6400,false,3500000,,,,20982,,554,,3521536,777750,411656,291376,"$240,235",104382,,468318,22751,68713,113889,96810,,2595880,,,,,,,,,
Fifth Avenue,MN,22220,5,9,25,1,1319,133,14,147,true,Both or Other (please explain),Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,17280,250,65000,79,true,In-house,Street patrol; Coordination with NYPD,45600,234765,false,,,,,,,,,,true,Door-to-door visits; Email bulletins,-,1500,1,250,false,3207000,,,,,,1100,,3208100,634471,1409975,38680,$-,,,377269,,336254,270003,29212,83582,3179446,,,,,,,,,
Flatbush Avenue,BK,7480,2,2,2,4,353,312,23,335,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,4898,1766,67582,72,true,Contracted,Street patrol; Coordination with NYPD,3270,3650,false,,,,,,,,,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","1,446",4790,9,15642,true,314520,,,,2500,10425,429,,327874,111739,66224,28118,$-,,,95985,27826,10957,6180,824,6514,354367,,,,,,,,,
Flatbush-Nostrand Junction,BK,9110,1,3,1,1,250,245,5,250,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,8500,3502,19000,14,false,Contracted,,,,true,,25,25,,,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media","1,000",1300,10,600,false,200000,,7500,,92526,,2525,,302551,108476,,104279,$-,,,90445,20000,8187,5700,7087,46993,391167,,,,,,,,,
Flatiron/23rd Street Partnership,MN,47610,5,25,8,2,4200,570,38,598,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,46699,23066,191480,199,true,Contracted,Street patrol,15475,16187,true,263,178,89,1,294,1,,57,4,false,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","31,593",105650,101,7490,true,2200000,108184,604304,,,,17408,,2929896,1028451,463419,494837,"$732,446",131977,,82138,44834,47303,129201,9622,43833,3208061,,,,,,,,,
Fordham Road,BX,16220,3,8,0,10,342,256,10,266,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,20208,166,133000,105,false,,,,,true,30,,1,1,,,,,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","5,911",17000,72,155000,true,795000,,42826,,,,51,,837877,333700,18127,195495,"$24,347",,,327506,21800,10720,41868,6429,7935,987927,,,,,,,,,
Forest Avenue,SI,8190,0,2,0,0,149,135,2,137,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,2659,830,18000,60,false,,,,,true,,50,27,,,,,,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media","2,204",7000,2,5100,false,165000,,,9370,22500,,145,,197015,60996,,33477,"$15,113",2000,,,61600,2331,,,3530,179047,,,,,,,,,
Fulton Area Business (FAB) Alliance,BK,20400,2,5,0,1,219,215,17,232,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,7650,1200,61000,100,true,Both or Other (please explain),Coordination with NYPD,165,,true,39,175,41,1,28,,,,4,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","7,431",64010,28,4487,true,400000,,600,15772,117000,,,,533372,182810,5358,230366,"$42,957",,,23379,4500,3761,12494,534,6488,512647,,,,,,,,,
Fulton Mall Improvement Association,BK,16300,7,28,10,0,Do Not Track,132,34,166,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,36443,168,32256,113,true,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,20800,9065,true,4,145,49,,185,10,27,282,2,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","30,667",27900,15,5000,true,2004500,,,3500,,21505,378,,2029883,587432,540260,153474,"$393,605",,,73267,45050,169083,21125,15428,129039,2127763,,,,,,,,,
